query,domain,domain_architecture,protein_id,length,domain_count
tr|G0R9G0|G0R9G0_HYPJQ,['GH18'],GH18,tr|G0R9G0|G0R9G0_HYPJQ,401,1
tr|G0RTT0|G0RTT0_HYPJQ,['GH18'],GH18,tr|G0RTT0|G0RTT0_HYPJQ,401,1
tr|G0RWB1|G0RWB1_HYPJQ,['GH28'],GH28,tr|G0RWB1|G0RWB1_HYPJQ,401,1
tr|G0RWT4|G0RWT4_HYPJQ,['GH16_23'],GH16_23,tr|G0RWT4|G0RWT4_HYPJQ,396,1
tr|G0RKU0|G0RKU0_HYPJQ,['GH18'],GH18,tr|G0RKU0|G0RKU0_HYPJQ,393,1
tr|G0RRS0|G0RRS0_HYPJQ,['GH18'],GH18,tr|G0RRS0|G0RRS0_HYPJQ,392,1
tr|G0RGT7|G0RGT7_HYPJQ,['AA11'],AA11,tr|G0RGT7|G0RGT7_HYPJQ,382,1
tr|G0R949|G0R949_HYPJQ,['GH28'],GH28,tr|G0R949|G0R949_HYPJQ,379,1
tr|G0RBA1|G0RBA1_HYPJQ,['GH18'],GH18,tr|G0RBA1|G0RBA1_HYPJQ,376,1
tr|G0RL27|G0RL27_HYPJQ,['GH72'],GH72,tr|G0RL27|G0RL27_HYPJQ,374,1
tr|G0RRF8|G0RRF8_HYPJQ,['GT17'],GT17,tr|G0RRF8|G0RRF8_HYPJQ,370,1
tr|G0RC85|G0RC85_HYPJQ,['GH5_7'],GH5_7,tr|G0RC85|G0RC85_HYPJQ,369,1
tr|G0RFE9|G0RFE9_HYPJQ,['GH16_18'],GH16_18,tr|G0RFE9|G0RFE9_HYPJQ,369,1
tr|G0RDA9|G0RDA9_HYPJQ,['AA11'],AA11,tr|G0RDA9|G0RDA9_HYPJQ,364,1
tr|G0RHJ4|G0RHJ4_HYPJQ,['CE16'],CE16,tr|G0RHJ4|G0RHJ4_HYPJQ,348,1
sp|G0RA32|XYN3_HYPJQ,['GH10'],GH10,sp|G0RA32|XYN3_HYPJQ,347,1
sp|G0R6T8|LP9A_HYPJQ,['AA9'],AA9,sp|G0R6T8|LP9A_HYPJQ,344,1
tr|G0RHB8|G0RHB8_HYPJQ,['GH18'],GH18,tr|G0RHB8|G0RHB8_HYPJQ,343,1
tr|G0R9X3|G0R9X3_HYPJQ,['CE16'],CE16,tr|G0R9X3|G0R9X3_HYPJQ,342,1
tr|G0R6W9|G0R6W9_HYPJQ,['AA2'],AA2,tr|G0R6W9|G0R6W9_HYPJQ,338,1
tr|G0RLU2|G0RLU2_HYPJQ,['GH16_1'],GH16_1,tr|G0RLU2|G0RLU2_HYPJQ,335,1
tr|G0RRQ0|G0RRQ0_HYPJQ,['GH16_18'],GH16_18,tr|G0RRQ0|G0RRQ0_HYPJQ,332,1
tr|G0R7M8|G0R7M8_HYPJQ,['GH18'],GH18,tr|G0R7M8|G0R7M8_HYPJQ,324,1
tr|G0REY3|G0REY3_HYPJQ,['GH62'],GH62,tr|G0REY3|G0REY3_HYPJQ,322,1
tr|G0RT85|G0RT85_HYPJQ,['GH43_34'],GH43_34,tr|G0RT85|G0RT85_HYPJQ,322,1
tr|G0RU01|G0RU01_HYPJQ,['GH128'],GH128,tr|G0RU01|G0RU01_HYPJQ,319,1
tr|G0R6T7|G0R6T7_HYPJQ,['CBM1'],CBM1,tr|G0R6T7|G0R6T7_HYPJQ,316,1
tr|G0RRQ4|G0RRQ4_HYPJQ,['CE1'],CE1,tr|G0RRQ4|G0RRQ4_HYPJQ,306,1
tr|G0RKI9|G0RKI9_HYPJQ,['CE1'],CE1,tr|G0RKI9|G0RKI9_HYPJQ,305,1
tr|G0R6T6|G0R6T6_HYPJQ,['CE5'],CE5,tr|G0R6T6|G0R6T6_HYPJQ,302,1
tr|G0R8N5|G0R8N5_HYPJQ,['CE5'],CE5,tr|G0R8N5|G0R8N5_HYPJQ,299,1
